時間軸（年次） コード,時間軸（年次）,全国，都道府県，市区町村（2000年市区町村含む） コード,全国，都道府県，市区町村（2000年市区町村含む）,/表章事項,人口密度【1km2当たり】
2020000000,2020年,1000,北海道,,66.6
2020000000,2020年,2000,青森県,,128.3
2020000000,2020年,3000,岩手県,,79.2
2020000000,2020年,4000,宮城県,,316.1
2020000000,2020年,5000,秋田県,,82.4
2020000000,2020年,6000,山形県,,114.6
2020000000,2020年,7000,福島県,,133
2020000000,2020年,8000,茨城県,,470.2
2020000000,2020年,9000,栃木県,,301.7
2020000000,2020年,10000,群馬県,,304.8
2020000000,2020年,11000,埼玉県,,"1,934.00"
2020000000,2020年,12000,千葉県,,"1,218.50"
2020000000,2020年,13000,東京都,,"6,402.60"
2020000000,2020年,14000,神奈川県,,"3,823.20"
2020000000,2020年,15000,新潟県,,174.9
2020000000,2020年,16000,富山県,,243.6
2020000000,2020年,17000,石川県,,270.5
2020000000,2020年,18000,福井県,,183
2020000000,2020年,19000,山梨県,,181.4
2020000000,2020年,20000,長野県,,151
2020000000,2020年,21000,岐阜県,,186.3
2020000000,2020年,22000,静岡県,,467.2
2020000000,2020年,23000,愛知県,,"1,458.00"
2020000000,2020年,24000,三重県,,306.6
2020000000,2020年,25000,滋賀県,,351.9
2020000000,2020年,26000,京都府,,559
2020000000,2020年,27000,大阪府,,"4,638.40"
2020000000,2020年,28000,兵庫県,,650.5
2020000000,2020年,29000,奈良県,,358.8
2020000000,2020年,30000,和歌山県,,195.3
2020000000,2020年,31000,鳥取県,,157.8
2020000000,2020年,32000,島根県,,100.1
2020000000,2020年,33000,岡山県,,265.4
2020000000,2020年,34000,広島県,,330.2
2020000000,2020年,35000,山口県,,219.6
2020000000,2020年,36000,徳島県,,173.5
2020000000,2020年,37000,香川県,,506.3
2020000000,2020年,38000,愛媛県,,235.2
2020000000,2020年,39000,高知県,,97.3
2020000000,2020年,40000,福岡県,,"1,029.80"
2020000000,2020年,41000,佐賀県,,332.5
2020000000,2020年,42000,長崎県,,317.7
2020000000,2020年,43000,熊本県,,234.6
2020000000,2020年,44000,大分県,,177.2
2020000000,2020年,45000,宮崎県,,138.3
2020000000,2020年,46000,鹿児島県,,172.9
2020000000,2020年,47000,沖縄県,,642.9